Gmt time,Open,High,Low,Close,Volume
2021-04-30 09:45:00+05:30,1012.53,1013.28,1008.75,1011.9,666812
2021-04-30 10:00:00+05:30,1011.98,1013.98,1008.9,1010.75,525680
2021-04-30 10:15:00+05:30,1010.98,1012.5,1010.0,1012.25,243868
2021-04-30 10:30:00+05:30,1012.25,1012.5,1009.75,1009.8,278362
2021-04-30 10:45:00+05:30,1009.88,1011.25,1009.13,1009.43,294566
2021-04-30 11:00:00+05:30,1009.45,1011.9,1009.08,1011.25,205738
2021-04-30 11:15:00+05:30,1011.28,1013.5,1011.25,1012.78,328928
2021-04-30 11:30:00+05:30,1012.78,1015.0,1011.78,1012.1,352128
2021-04-30 11:45:00+05:30,1012.03,1013.18,1011.25,1011.98,230662
2021-04-30 12:00:00+05:30,1011.98,1013.48,1011.53,1012.9,190540
2021-04-30 12:15:00+05:30,1012.9,1014.68,1012.75,1014.25,288834
2021-04-30 12:30:00+05:30,1014.25,1016.4,1014.08,1016.0,492566
2021-04-30 12:45:00+05:30,1016.0,1016.75,1012.65,1013.0,419522
2021-04-30 13:00:00+05:30,1012.83,1013.03,1006.05,1007.0,1147350
2021-04-30 13:15:00+05:30,1006.75,1008.23,1005.5,1006.25,426750
2021-04-30 13:30:00+05:30,1006.13,1007.83,1003.85,1004.5,492866
2021-04-30 13:45:00+05:30,1004.5,1005.23,1001.63,1003.7,576502
2021-04-30 14:00:00+05:30,1003.4,1003.75,996.5,999.65,918014
2021-04-30 14:15:00+05:30,999.75,1006.68,998.33,1004.15,717302
2021-04-30 14:30:00+05:30,1004.23,1006.7,1002.58,1006.0,442526
2021-04-30 14:45:00+05:30,1006.03,1006.25,1001.1,1003.95,599322
2021-04-30 15:00:00+05:30,1003.95,1003.98,994.5,995.9,2472146
2021-04-30 15:15:00+05:30,995.98,999.0,993.78,997.25,2869850
2021-05-03 09:15:00+05:30,983.0,989.5,971.55,988.0,4359304
2021-05-03 09:30:00+05:30,988.35,988.35,975.28,981.5,2046684
2021-05-03 09:45:00+05:30,981.35,981.5,974.23,975.85,1305520
2021-05-03 10:00:00+05:30,975.83,979.5,975.63,979.35,566340
2021-05-03 10:15:00+05:30,979.3,980.63,976.1,978.38,421874
2021-05-03 10:30:00+05:30,978.38,981.0,977.23,980.13,373378
2021-05-03 10:45:00+05:30,980.0,981.5,978.0,978.2,337212
2021-05-03 11:00:00+05:30,978.28,978.35,973.35,973.75,830392
2021-05-03 11:15:00+05:30,973.75,977.4,973.5,976.6,463618
2021-05-03 11:30:00+05:30,976.63,976.63,974.03,974.63,476138
2021-05-03 11:45:00+05:30,974.75,975.5,972.55,974.95,428846
2021-05-03 12:00:00+05:30,975.4,975.95,974.05,975.45,391558
2021-05-03 12:15:00+05:30,975.48,976.48,974.5,975.38,268662
2021-05-03 12:30:00+05:30,975.38,976.0,973.5,974.93,402986
2021-05-03 12:45:00+05:30,975.0,978.55,974.5,978.2,926312
2021-05-03 13:00:00+05:30,978.2,980.5,976.73,979.83,812694
2021-05-03 13:15:00+05:30,980.08,980.4,977.53,977.68,484198
2021-05-03 13:30:00+05:30,977.53,980.28,977.0,980.03,427350
2021-05-03 13:45:00+05:30,979.98,982.9,979.48,982.1,723068
2021-05-03 14:00:00+05:30,982.35,982.98,980.05,981.53,430090
2021-05-03 14:15:00+05:30,981.6,983.45,980.7,983.0,534906
2021-05-03 14:30:00+05:30,983.13,985.43,983.03,985.03,1045670
2021-05-03 14:45:00+05:30,985.03,985.5,982.35,982.55,1031726
2021-05-03 15:00:00+05:30,982.65,982.95,979.83,981.48,956266
2021-05-03 15:15:00+05:30,981.43,981.53,975.5,979.53,1770456
2021-05-04 09:15:00+05:30,975.0,983.9,969.63,972.45,3019946
2021-05-04 09:30:00+05:30,972.35,973.55,966.75,967.13,1578898
2021-05-04 09:45:00+05:30,967.4,969.8,965.03,969.6,1191210
